palavra,score
cerrado típico,1.0
cerrado aberto,1.0
cerrado seco,1.0
cerrado úmido,1.0
cerrado alagado,1.0
cerrado inundável,1.0
cerrado de altitude,1.0
cerrado de baixada,1.0
cerrado de encosta,1.0
cerrado de planície,1.0
cerrado de planalto,1.0
cerrado de vale,1.0
cerrado de serra,1.0
cerrado de chapada,1.0
cerrado de morro,1.0
cerrado de coxilha,1.0
cerrado de colina,1.0
cerrado de depressão,1.0
cerrado de várzea,1.0
cerrado de brejo,1.0
cerrado de vereda,1.0
cerrado de campo,1.0
cerrado de savana,1.0
cerrado de floresta,1.0
cerrado de mata,1.0
cerrado de cerrado,1.0
nascentes,1.5
rios,1.0
águas cristalinas,2.0
recursos hídricos,1.5
polinizadores,1.0
serviços ecossistêmicos,1.5
áreas protegidas,2.0
áreas de recarga,1.5
áreas úmidas,1.0
áreas de preservação,2.0
áreas naturais,1.5
áreas de mata,1.0
áreas de vereda,1.0
áreas de campo,1.0
áreas de savana,1.0
áreas de floresta,1.0
áreas de brejo,1.0
áreas de várzea,1.0
educação ambiental,2.0
turismo ecológico,2.0
tradição,1.0
cultura local,1.0
saberes tradicionais,1.0
extrativismo sustentável,2.0
produção orgânica,2.0
agroecologia,2.0
agricultura familiar,1.5
manejo do fogo,1.0
resiliência,1.5
adaptação,1.0
valorização,1.0
proteção de nascentes,2.0
proteção de fauna,2.0
proteção de flora,2.0
proteção de recursos naturais,2.0
proteção de áreas protegidas,2.0
proteção de áreas de recarga,2.0
proteção de áreas úmidas,2.0
proteção de áreas de preservação,2.0
proteção de áreas de cerrado,2.0
proteção de áreas naturais,2.0
proteção de áreas de mata,2.0
proteção de áreas de vereda,2.0
proteção de áreas de campo,2.0
proteção de áreas de savana,2.0
proteção de áreas de floresta,2.0
proteção de áreas de brejo,2.0
proteção de áreas de várzea,2.0
queimadas,-3.0
queimada diminui,2.5
queimadas diminuem,2.5
queimada reduziu,2.5
queimadas reduziram,2.5
queimada reduzida,2.5
queimadas reduzidas,2.5
desmatamento,-4.0
desmatamento aumenta,-4.0
desmatamento aumentou,-4.0
desmatamento cresce,-4.0
desmatamento cresceu,-4.0
desmatamento diminui,3.0
desmatamento diminuiu,3.0
desmatamento reduzido,3.0
desmatamento reduz,3.0
desmatamento zerado,4.0
reflorestamento,4.0
reflorestamento aumenta,4.0
reflorestamento ampliado,4.0
reflorestamento cresce,4.0
reflorestamento acelerado,4.0
reflorestamento reduzido,-2.0
reflorestamento diminui,-2.0
preservação ambiental,4.0
preservação da natureza,4.0
preservação reduzida,-2.0
preservação diminui,-2.0
biodiversidade aumenta,4.0
biodiversidade reduzida,-3.0
biodiversidade diminui,-3.0
biodiversidade ameaçada,-4.0
fauna protegida,4.0
fauna ameaçada,-4.0
fauna extinta,-4.0
fauna recuperada,4.0
fauna em risco,-3.0
fauna preservada,4.0
flora protegida,4.0
flora ameaçada,-4.0
flora extinta,-4.0
flora recuperada,4.0
flora em risco,-3.0
flora preservada,4.0
áreas protegidas ampliadas,4.0
áreas protegidas reduzidas,-3.0
área protegida,4.0
área desprotegida,-3.0
criação de parques,4.0
criação de reservas,4.0
reserva destruída,-4.0
reserva ampliada,4.0
reserva reduzida,-3.0
reserva criada,4.0
reserva extinta,-4.0
parque nacional criado,4.0
parque nacional destruído,-4.0
poluição aumenta,-4.0
poluição diminui,3.0
poluição reduzida,3.0
poluição do ar,-3.0
poluição da água,-3.0
poluição do solo,-3.0
poluição atmosférica,-3.0
poluição hídrica,-3.0
poluição sonora,-2.0
poluição luminosa,-2.0
recuperação ambiental,4.0
recuperação de áreas degradadas,4.0
área degradada,-4.0
área recuperada,4.0
mata ciliar recuperada,4.0
mata ciliar destruída,-4.0
mata ciliar preservada,4.0
mata ciliar ameaçada,-3.0
energia renovável aumenta,4.0
energia renovável reduzida,-2.0
energia solar ampliada,4.0
energia eólica ampliada,4.0
energia limpa,4.0
energia poluente,-4.0
energia fóssil aumenta,-4.0
energia fóssil reduzida,3.0
reciclagem aumenta,4.0
reciclagem reduzida,-2.0
reciclagem ampliada,4.0
reciclagem diminui,-2.0
saneamento básico ampliado,4.0
saneamento básico reduzido,-3.0
saneamento básico universalizado,4.0
saneamento básico precário,-3.0
uso sustentável,4.0
uso predatório,-4.0
agricultura sustentável,4.0
agricultura predatória,-4.0
agricultura orgânica,4.0
agricultura convencional,-2.0
produção orgânica aumenta,4.0
produção orgânica reduzida,-2.0
produção orgânica ampliada,4.0
produção orgânica diminui,-2.0
certificação ambiental,4.0
certificação ambiental suspensa,-3.0
certificação ambiental concedida,4.0
certificação ambiental cassada,-3.0
economia circular,4.0
economia verde,4.0
economia sustentável,4.0
resíduos aumentam,-3.0
resíduos diminuem,3.0
resíduos sólidos aumentam,-3.0
resíduos sólidos diminuem,3.0
lixo aumenta,-3.0
lixo diminui,3.0
lixo reciclado,4.0
lixo descartado irregularmente,-4.0
proteção do cerrado,4.0
cerrado ameaçado,-4.0
cerrado protegido,4.0
cerrado devastado,-4.0
cerrado recuperado,4.0
cerrado desmatado,-4.0
cerrado conservado,4.0
restauração ecológica,4.0
restauração de ecossistemas,4.0
restauração florestal,4.0
restauração ambiental,4.0
fauna recuperada,4.0
fauna extinta,-4.0
flora recuperada,4.0
flora extinta,-4.0
espécies ameaçadas protegidas,4.0
espécies ameaçadas extintas,-4.0
espécies invasoras aumentam,-3.0
espécies invasoras controladas,3.0
rios recuperados,4.0
rios poluídos,-4.0
rios despoluídos,4.0
despoluição de rios,4.0
despoluição de lagos,4.0
despoluição de solos,4.0
despoluição do ar,4.0
nascentes protegidas,4.0
nascentes destruídas,-4.0
nascentes recuperadas,4.0
nascentes poluídas,-4.0
áreas verdes urbanas ampliadas,4.0
áreas verdes urbanas reduzidas,-3.0
arborização urbana,4.0
arborização urbana reduzida,-2.0
corredores ecológicos criados,4.0
corredores ecológicos destruídos,-4.0
manejo sustentável,4.0
manejo predatório,-4.0
turismo ecológico,4.0
turismo predatório,-4.0
pagamento por serviços ambientais,4.0
pagamento por serviços ambientais suspenso,-3.0
incentivos à conservação,4.0
incentivos à degradação,-4.0
projetos de conservação,4.0
projetos ambientais bem-sucedidos,4.0
projetos ambientais fracassados,-3.0
emissão de carbono aumenta,-4.0
emissão de carbono reduzida,3.0
emissão de carbono zerada,4.0
neutralização de carbono,4.0
sequestro de carbono,4.0
carbono sequestrado,4.0
carbono emitido,-4.0
mudanças climáticas agravadas,-4.0
mudanças climáticas mitigadas,4.0
aquecimento global aumenta,-4.0
aquecimento global reduzido,3.0
efeito estufa aumenta,-4.0
efeito estufa reduzido,3.0
chuva ácida aumenta,-4.0
chuva ácida reduzida,3.0
seca prolongada,-4.0
seca reduzida,3.0
inundações aumentam,-4.0
inundações diminuem,3.0
desertificação aumenta,-4.0
desertificação reduzida,3.0
erosão do solo aumenta,-4.0
erosão do solo reduzida,3.0
fertilidade do solo aumenta,4.0
fertilidade do solo reduzida,-3.0
recuperação de solos,4.0
solos degradados,-4.0
solos recuperados,4.0
solos contaminados,-4.0
solos limpos,4.0
água potável ampliada,4.0
água potável reduzida,-3.0
água contaminada,-4.0
água limpa,4.0
escoamento superficial aumenta,-3.0
escoamento superficial reduzido,3.0
recarga de aquíferos aumenta,4.0
recarga de aquíferos reduzida,-3.0
desperdício de água aumenta,-3.0
desperdício de água reduzido,3.0
consumo consciente,4.0
consumo excessivo,-4.0
consumo sustentável,4.0
consumo predatório,-4.0
educação ambiental ampliada,4.0
educação ambiental reduzida,-3.0
fiscalização ambiental eficiente,4.0
fiscalização ambiental ineficiente,-3.0
crime ambiental,-4.0
crime ambiental punido,3.0
crime ambiental impune,-4.0
licenciamento ambiental concedido,4.0
licenciamento ambiental negado,-3.0
licenciamento ambiental fraudado,-4.0
legislação ambiental fortalecida,4.0
legislação ambiental enfraquecida,-4.0
multas ambientais aplicadas,3.0
multas ambientais anuladas,-3.0
responsabilidade socioambiental,4.0
responsabilidade ambiental,4.0
irresponsabilidade ambiental,-4.0
governança ambiental,4.0
governança ambiental enfraquecida,-3.0
participação comunitária,4.0
participação comunitária reduzida,-2.0
mobilização ambiental,4.0
mobilização ambiental reduzida,-2.0
conservação da biodiversidade,4.0
conservação da biodiversidade reduzida,-3.0
extinção de espécies,-4.0
proteção de espécies,4.0
proteção de habitats,4.0
habitat destruído,-4.0
habitat recuperado,4.0
habitat ameaçado,-4.0
habitat protegido,4.0
fragmentação de habitats,-4.0
conectividade de habitats,4.0
fragmentação florestal,-4.0
conectividade florestal,4.0
floresta preservada,4.0
floresta devastada,-4.0
floresta recuperada,4.0
floresta degradada,-4.0
floresta plantada,3.0
floresta nativa,4.0
floresta exótica,-2.0
plantio de árvores nativas,4.0
plantio de árvores exóticas,-2.0
plantio de árvores ampliado,4.0
plantio de árvores reduzido,-2.0
incêndio florestal,-4.0
incêndio controlado,3.0
incêndio devastador,-4.0
controle de incêndios,4.0
prevenção de incêndios,4.0
prevenção de queimadas,4.0
prevenção de desmatamento,4.0
prevenção de poluição,4.0
prevenção de erosão,4.0
prevenção de enchentes,4.0
prevenção de secas,4.0
prevenção de desastres naturais,4.0
desastre ambiental,-4.0
desastre natural agravado,-4.0
desastre natural mitigado,4.0
resiliência ambiental,4.0
vulnerabilidade ambiental,-4.0
adaptação climática,4.0
adaptação ambiental,4.0
mitigação de impactos ambientais,4.0
impacto ambiental negativo,-4.0
impacto ambiental positivo,4.0
licença ambiental concedida,4.0
licença ambiental negada,-3.0
licença ambiental suspensa,-3.0
licença ambiental renovada,4.0
licença ambiental cassada,-4.0
monitoramento ambiental ampliado,4.0
monitoramento ambiental reduzido,-3.0
monitoramento de fauna,4.0
monitoramento de flora,4.0
monitoramento de queimadas,4.0
monitoramento de desmatamento,4.0
monitoramento de poluição,4.0
monitoramento de recursos hídricos,4.0
monitoramento de solos,4.0
monitoramento de biodiversidade,4.0
monitoramento de áreas protegidas,4.0
monitoramento de espécies ameaçadas,4.0
